ModelName,Beam,LRFD_Mn_pos,ult_mom,ult_curv
Steel-100ftx12ft-spacing.mat,W44X262,100045809.799386,98136581.3582652,0.000468050394397871
Steel-100ftx6ft-spacing.mat,W40X264,79857216.1915408,83268612.1338348,0.000301151056582413
Steel-100ftx8ft-spacing.mat,W40X264,84420516.9739223,86588619.6301831,0.000365160378162892
Steel-150ftx12ft-spacing.mat,,204826698.868103,204720245.867988,0.000349478628334791
Steel-150ftx6ft-spacing.mat,,192348911.082403,197962212.093676,0.000242379049643198
Steel-150ftx8ft-spacing.mat,,227046189.765888,233524846.878045,0.00021484185500655
Steel-50ftx12ft-spacing.mat,W21X132,33304646.2411793,33209181.0685502,0.000701207577720673
Steel-50ftx6ft-spacing.mat,W24X76,19896775.7938234,19834259.4251315,0.000626679337002858
Steel-50ftx8ft-spacing.mat,W21X101,24569255.84375,24609087.3489142,0.000626569848911491
