modelName,Length,ExtWidth,Skew,GirderSpacing,NumGirder,AdjustedWidth,Width,beamType,BeamD,Beamfc,SectionName,Mn_pos,Deck_t,Deck_fc,bft,tw,tft,tfb,bfb
,1200,432,0,144,4,432,576,Plate,48,,Plate,128827919.314793,8,5000,8.1,0.5,4.6,4.6,8.1
,1200,504,0,72,8,504,576,Plate,48,,Plate,116744406.578042,8,5000,10.7,0.5,3.6,3.6,10.7
,1200,480,0,96,6,480,576,Plate,48,,Plate,122588961.057813,8,5000,11.6,0.5,3.3,3.3,11.6
,1800,432,0,144,4,432,576,Plate,72,,Plate,238746946.470432,8,5000,12.1,0.7,3.2,3.2,12.1
,1800,504,0,72,8,504,576,Plate,72,,Plate,227951154,8,5000,16,0.8,2.4,2.4,16
,1800,480,0,96,6,480,576,Plate,72,,Plate,240865959.552,8,5000,13.7,1,2.4,2.4,13.7
,600,432,0,144,4,432,576,Rolled,27.3,,W27X114,33769866.5264706,8,5000,10.1,0.57,0.93,0.93,10.1
,600,504,0,72,8,504,576,Rolled,26.7,,W27X84,23441471.7134622,8,5000,10,0.46,0.64,0.64,10
,600,480,0,96,6,480,576,Rolled,26.7,,W27X84,24308510.4661765,8,5000,10,0.46,0.64,0.64,10
