ModelName,Beam,crush_mom,crush_curv,LRFD_Mn_pos
Steel-100ftx12ft-spacing.mat,Plate,127716636.105177,0.000396291093821415,128827919.314793
Steel-100ftx6ft-spacing.mat,Plate,121436461.76934,0.000272487907837707,116744406.578042
Steel-100ftx8ft-spacing.mat,Plate,125466337.238336,0.000326586267187859,122588961.057813
Steel-150ftx12ft-spacing.mat,Plate,236394574.223772,0.000349729906200466,238746946.470432
Steel-150ftx6ft-spacing.mat,Plate,236071612.889205,0.000193262144178569,227951154
Steel-150ftx8ft-spacing.mat,Plate,244678865.133196,0.000217680446956589,240865959.552
Steel-50ftx12ft-spacing.mat,W27X114,33595443.8018567,0.00082103704620199,33769866.5264706
Steel-50ftx6ft-spacing.mat,W27X84,23254844.1635396,0.000588239248603288,23441471.7134622
Steel-50ftx8ft-spacing.mat,W27X84,24164428.8333318,0.000745308338209172,24308510.4661765
